07:27:06::Procedure or function 'Auditory_Insert' expects parameter '@CustomerId', which was not supplied.::Auditory::>Insert(1)::
07:28:59::Procedure or function 'Auditory_Insert' expects parameter '@CustomerId', which was not supplied.::Auditory::>Insert(1)::
07:31:34::Procedure or function 'Auditory_Insert' expects parameter '@EnterpriseAddress', which was not supplied.::Auditory::>Insert(1)::
07:36:59::Procedure or function 'Auditory_Update' expects parameter '@CustomerId', which was not supplied.::Auditory::>Update(1)::
07:38:27::Procedure or function 'Auditory_Update' expects parameter '@EnterpriseAddress', which was not supplied.::Auditory::>Update(1)::
07:40:12::La conversión especificada no es válida.::Auditory::>ById(1,12)::
07:40:28::La conversión especificada no es válida.::Auditory::>ById(1,12)::
07:40:37::La conversión especificada no es válida.::Auditory::>ById(1,12)::
07:42:25::La conversión especificada no es válida.::Auditory::>ById(1,12)::
07:44:30::La conversión especificada no es válida.::Auditory::>ById(1,12)::
07:44:50::La conversión especificada no es válida.::Auditory::>ById(1,12)::
07:44:53::La conversión especificada no es válida.::Auditory::>ById(1,12)::
07:46:48::La conversión especificada no es válida.::Auditory::>ById(1,12)::
07:51:42::La conversión especificada no es válida.::Auditory::>ById(1,12)::
08:03:02::La conversión especificada no es válida.::Auditory::>ById(1,12)::
08:04:22::Procedure or function 'Auditory_Insert' expects parameter '@EnterpriseAddress', which was not supplied.::Auditory::>Insert(-1)::
08:08:31::Procedure or function 'Auditory_Insert' expects parameter '@AuditorTeam', which was not supplied.::Auditory::>Insert(-1)::
08:10:01::La conversión especificada no es válida.::Auditory::>ById(6,12)::
